id,title,company,location,category,created,description,salary_min,salary_max,contract_type,contract_time,salary_avg
5185229320,Early Years Educator Nursery,Partou,"Ware, Hertfordshire",Teaching Jobs,2025-05-07T14:32:36Z,"join partou, where we put children in the lead! we're seeking dedicated and qualified level 3 early years practitioners to join our sucklings yard day nusery & pre school. part tine 20 hours a week and a competitive salary £27,600 (pro rata) at partou, we are committed to providing exceptional care, compassion, and continuous learning. these values guide our interactions with children, families, and team members, ensuring a nurturing and supportive environment. some of the benefits of working a…",27600.0,27600.0,permanent,part_time,27600.0
5172986638,Housekeeping Assistant - Bank - Care Home,Barchester Healthcare,"Melbourn, Royston",Domestic help & Cleaning Jobs,2025-05-01T13:32:39Z,"about the role as a bank housekeeping assistant at a barchester care home, you'll help to create a warm and homely environment that enables us to meet each resident's unique needs. keeping the home clean and safe is no small task, which is why the role of a bank housekeeping assistant is so important. the variety of housekeeping and cleaning tasks you carry out will ensure everyone can enjoy a clean, tidy and welcoming environment. this means you'll have a direct impact on our residents, their …",29619.0,29619.0,unknown,unknown,29619.0
5190346944,Care Home Administrator,Barchester Healthcare,"Harlow Green, Gateshead",Admin Jobs,2025-05-09T13:37:28Z,"barchester healthcare are looking for an experienced and dedicated administrator to join our team and play a pivotal role within the home's management team. providing the general manager with the support needed to ensure the efficient running of a high quality home, this varied position encompasses managing customer experience elements alongside, hr, recruitment, payroll, finance and the supervision of junior members of the administration team. you'll need to be a self-sufficient and profession…",28000.0,28000.0,permanent,unknown,28000.0
5149584869,Care Assistant - Bank - Care Home,Barchester Healthcare,"Wilton, Salisbury",Healthcare & Nursing Jobs,2025-04-17T13:30:03Z,"about the role as a bank care assistant at a barchester care home, you'll help residents enjoy each day by making sure they get the quality care and support they deserve. you'll assist with daily living, providing support and companionship and sharing great moments and memories too. it's a chance to bring your dedication and compassion to a fulfilling environment. every day will be different, so you can expect to undertake work that's as varied as it is rewarding. as a bank care assistant, you …",33342.0,33342.0,unknown,unknown,33342.0
5172986642,Activities Assistant - Care Home,Barchester Healthcare,"Badgeworth, Cheltenham",Hospitality & Catering Jobs,2025-05-01T13:32:39Z,"about the role as an activities assistant at a barchester care home, you'll deliver imaginative, fun and varied activities to ensure our residents can enjoy an environment that is motivational and fulfilling. we want to make sure each individual can pursue the interests they most enjoy and that means you'll have a real impact on our residents' lives. the activities assistant role involves helping us to deliver an entertainment and activities programme that covers a wide range of pastimes, socia…",26436.0,26436.0,permanent,unknown,26436.0
5172986625,Activities Assistant - Care Home,Barchester Healthcare,"Ellacombe, Torquay",Hospitality & Catering Jobs,2025-05-01T13:32:39Z,"about the role as an activities assistant at a barchester care home, you'll deliver imaginative, fun and varied activities to ensure our residents can enjoy an environment that is motivational and fulfilling. we want to make sure each individual can pursue the interests they most enjoy and that means you'll have a real impact on our residents' lives. the activities assistant role involves helping us to deliver an entertainment and activities programme that covers a wide range of pastimes, socia…",26436.0,26436.0,permanent,unknown,26436.0
5190346934,Deputy Manager & Clinical Lead (RN),Barchester Healthcare,"Southwick, Trowbridge",Healthcare & Nursing Jobs,2025-05-09T13:37:28Z,"about the role as care home deputy manager & clinical lead of a barchester care home, you'll support the delivery of the quality care we're known for. working closely with the general manager and taking on leadership duties in their absence, you can expect to help with everything from ensuring care standards to motivating your team. you'll inspire a multidisciplinary team to make sure they help every resident to enjoy the best possible quality of life. that means leading by example and monitori…",55000.0,55000.0,permanent,unknown,55000.0
5172986493,Laundry Assistant - Care Home,Barchester Healthcare,"Davidsons Mains, Edinburgh",Hospitality & Catering Jobs,2025-05-01T13:32:38Z,"about the role as a laundry assistant at a barchester care home, you'll help to make sure our residents receive quality care and support in the best possible surroundings. by making sure each resident has clean clothing and bedding, you'll be playing your own part in helping everyone to feel comfortable and at home. the role of laundry assistant involves sorting, washing, drying, ironing and contributing to the overall look and feel of the home. it's a great way to get a sense of what it takes …",26020.0,26020.0,permanent,unknown,26020.0
5195314787,Support Worker,Active Care Group,"Shrewsbury, Shropshire",Social work Jobs,2025-05-12T20:06:57Z,"for genuine occupational reasons we require a the successful candidate to have a full uk driving license. would you like a rewarding role in which you can support a client one to one in their own home? come and join one of the uk's largest providers of complex care. within the care in the home division, we support clients with complex care to live independently in their own homes. we'd like you to join us as a live out support worker to support our male client who lives in shrewsbury . meet the…",31200.0,31200.0,unknown,part_time,31200.0
5160252081,Polish Interpreters Required,Premium Linguistic Services,"Manchester, Greater Manchester",Other/General Jobs,2025-04-24T16:33:32Z,we are currently looking for polish interpreters in manchester. we are extremely in-demand right now; this is an excellent opportunity to receive multiple interpreting assignments from premium linguistic services every day . skills and experience required: fluent in english and polish languages qualification and/or experience in interpreting and/or languages - if you are not sure about your qualification or experience please send us cv our friendly recruitment team will evaluate it for you. mai…,18.0,18.0,permanent,part_time,18.0
5138677429,Benefit and Rewards Specialist,Barchester Healthcare,"Raigmore, Inverness",Accounting & Finance Jobs,2025-04-10T13:38:18Z,"barchester prides itself in offering an industry leading benefits, rewards and wellbeing programme. are you an experienced benefits and rewards specialist or advisor looking for a new position in an expanding team and a fast-moving environment? this varied role will provide an enhanced business-focused benefits & rewards service. this role will have a particular focus on managing, monitoring and reporting of compensation. this is a remote, permanent position, with occasional travel to inverness…",47757.14,47757.14,permanent,unknown,47757.14
5156054513,Care Assistant - Driver,CAREGIVERS LIMITED,"Clacton-On-Sea, Essex",Healthcare & Nursing Jobs,2025-04-22T09:29:49Z,"job description job title: domiciliary care driver position type: part-time, full-time salary: £24,948 per annum benefits: mileage paid pension scheme flexible working free uniform and ppe job description: as a domiciliary care worker, you will be responsible for supporting clients in their own homes, ensuring they receive the care and assistance they need to live independently. your role will include a variety of tasks tailored to meet the unique needs of each client, helping them maintain the…",24948.0,24948.0,permanent,full_time,24948.0
5168409299,Operations & Office Administrator,The Missionary Society of Saint Columban,"Bentley Heath, Solihull",Admin Jobs,2025-04-29T11:52:27Z,job tile: operations and office administrator reporting to: fundraising and operations manager & health & safety officer days & hours: monday to friday. full-time - 37.5 hours per week salary: depending on experience. this will be discussed with the shortlisted candidates. additional benefits: an additional week of holiday (vs national entitlement) four discretionary days of holiday over the christmas period when the office is closed discretionary christmas bonus discretionary paid compassionat…,20606.48,20606.48,permanent,full_time,20606.48
5176169504,Registered Nurse (RGN) - Care Home,Barchester Healthcare,"East Gills, Scrabster",Healthcare & Nursing Jobs,2025-05-02T13:39:14Z,"about the role as a registered nurse at a barchester care home, you'll look after the physical, psychological and social needs of our residents to help us deliver the quality care they deserve. we'll look to you to create a safe and supportive environment for residents with range of physical and mental needs, whilst also relying on your professional judgement to make critical clinical decisions. you can expect a wide range of responsibilities, from developing tailored care plans to providing me…",42536.0,42536.0,permanent,unknown,42536.0
5048214042,Head Chef - Care Home,Barchester Healthcare,"Whiteley Village, Hersham",Hospitality & Catering Jobs,2025-02-13T11:55:06Z,"are you a passionate and qualified chef looking for a better work life balance? if you are keen to be part of a company that is driven by quality and high standards, barchester is the place to be! your benefits and rewards working days and alternate weekends only, across 4/5 days a week rewarding excellence' bonus where you will be financially rewarded up to £500* for a good or outstanding cqc inspection unlimited access to our refer a friend' scheme, earning up to £500* per referral access to …",40000.0,40000.0,permanent,unknown,40000.0
5093232623,Regional Senior Care Assistant,Barchester Healthcare,"Bumpers Farm, Chippenham",Social work Jobs,2025-03-14T12:29:01Z,"about the role as a regional senior care assistant with barchester care homes, you'll deliver warm, empathetic and respectful care and support across a 20-mile radius to help our residents get the most out of life. on a practical level, you can expect to monitor the delivery of care when on duty, contribute to the person-centred care planning process for each resident and record observations on things like temperature and blood pressure amongst a range of other important tasks. the role of regi…",33280.0,33280.0,permanent,unknown,33280.0
5151609748,Housekeeping Assistant - Care Home,Barchester Healthcare,"Mongewell, Wallingford",Domestic help & Cleaning Jobs,2025-04-18T13:29:32Z,"about the role as a housekeeping assistant at a barchester care home, you'll help to create a warm and homely environment that enables us to meet each resident's unique needs. keeping the home clean and safe is no small task, which is why the role of housekeeping assistant is so important. the variety of housekeeping and cleaning tasks you carry out will ensure everyone can enjoy a clean, tidy and welcoming environment. this means you'll have a direct impact on our residents, their visitors and…",28329.0,28329.0,permanent,unknown,28329.0
5162276676,Early Years Educator L3,Partou,"Market Harborough, Leicestershire",Teaching Jobs,2025-04-25T14:27:35Z,"join partou, where we put children in the lead we're seeking dedicated and qualified level 3 early years practitioners to join our progress house family part-time 30 hours a week and a competitive salary at partou, we are committed to providing exceptional care, compassion, and continuous learning. these values guide our interactions with children, families, and team members, ensuring a nurturing and supportive environment. some of the benefits of working as part of the partou family: genuine o…",20248.0,20248.0,permanent,part_time,20248.0
5172986626,Care Assistant - Complex Care,Barchester Healthcare,"Great Burdon, Darlington",Social work Jobs,2025-05-01T13:32:39Z,"about the role as a care assistant at a barchester complex care home, you'll help residents enjoy each day by making sure they get the quality care they deserve. we'll look to you to support our residents with a variety of needs, including advanced or young onset dementia, multiple sclerosis, neuro rehab and huntington's disease. our residents need highly specialised care to get the most out of life, and you'll be there deliver that by assisting with daily living, providing support and companio…",27892.0,27892.0,permanent,unknown,27892.0
5182945331,Support Worker,Hillgate Recruitment Services,"Havercroft, Wakefield",Healthcare & Nursing Jobs,2025-05-06T12:32:43Z,"job title: support workers location: havercroft, wakefield contract: zero hours shift pattern: as per business needs pay rate: £16.32 per hour hillgate recruitment services is a leading recruitment agency in the uk. with over 25 years of experience, we have been serving a diverse range of clients across various industries, healthcare sectors . our team of dedicated professionals, currently consisting of over 3,500 skilled and motivated individuals, is committed to delivering excellence in facil…",33945.0,33945.0,contract,full_time,33945.0
5172986362,Care Assistant - Care Home,Barchester Healthcare,"Kingsland, Shrewsbury",Healthcare & Nursing Jobs,2025-05-01T13:32:37Z,"about the role as a care assistant at a barchester care home, you'll help residents enjoy each day by making sure they get the quality care and support they deserve. you'll assist with daily living, providing support and companionship and sharing great moments and memories too. it's a chance to bring your dedication and compassion to a fulfilling environment. every day will be different, so you can expect to undertake work that's as varied as it is rewarding. as a care assistant, you could be d…",28724.0,28724.0,permanent,unknown,28724.0
5158012536,Senior Sales Negotiator,ProFind Property Recruitment,"Farnham, Surrey",Property Jobs,2025-04-23T13:19:08Z,"sales / senior negotiator location: farnham, surrey salary: £24,000 basic (ote £30,000 – £40,000) £2,000 car allowance and ancillary commission hours: monday – friday, 8.30am – 6.00pm (plus alternate saturdays) our client, a highly respected independent estate agency with a strong presence across surrey and south west london, is seeking a motivated and ambitious sales / senior negotiator to join their successful team in farnham. with a reputation built on trust, professionalism and results, th…",2000.0,24000.0,permanent,full_time,13000.0
5154995648,HGV Class 1 Night Driver,Driver Hire Twickenham & Heathrow,"Feltham, London",Logistics & Warehouse Jobs,2025-04-21T06:15:15Z,"hgv class 1 (ce) night drivers wanted location: heathrow salary: £62,400 to £68,640 per year (paye – including holiday pay) shifts: night shifts, flexible start times (18:00 - 20:00) hours: minimum paid 12-hour shifts about the role: join a top player in the airfreight cargo industry due to a major contract with the uk’s largest airline, we’re expanding our team. this is a fantastic opportunity for experienced night hgv class 1 (ce) drivers looking for stable, high-paying work with regular long…",62400.0,68640.0,contract,unknown,65520.0
5144003872,Residential Kitchen and Bathroom Fitter / Remedial Fitter,Bellamy Group,"Chelmsford, Essex",Trade & Construction Jobs,2025-04-14T10:47:42Z,"we are looking for a part or full time kitchen and bathroom fitter / remedial fitter to join our small family run business. we work all over essex and occasionally beyond. we look forward to receiving your cv own insurance, van, asbestos cert, dbs and tools needed and minimum 3 yrs experience please.",25000.0,50000.0,permanent,full_time,37500.0
5185150320,Implementation Coordinator,Barchester Healthcare,UK,IT Jobs,2025-05-07T13:36:05Z,"remote working, 6 months fixed term contract exciting new opportunity for an experienced implementation coordinator to join the barchester family. barchester are on exciting journey of digital transformation, where we are heavily investing in multiple new systems across our current portfolio of 240 care homes and hospitals across the uk. the successful implementation coordinator will support the implementation of specific change programmes to ensure the full adoption of new systems and processe…",35000.0,35000.0,contract,unknown,35000.0
5178552599,Housekeeping Assistant - Care Home,Barchester Healthcare,"Newington, Sittingbourne",Domestic help & Cleaning Jobs,2025-05-03T13:35:04Z,"about the role as a housekeeping assistant at a barchester care home, you'll help to create a warm and homely environment that enables us to meet each resident's unique needs. keeping the home clean and safe is no small task, which is why the role of housekeeping assistant is so important. the variety of housekeeping and cleaning tasks you carry out will ensure everyone can enjoy a clean, tidy and welcoming environment. this means you'll have a direct impact on our residents, their visitors and…",26436.0,26436.0,permanent,unknown,26436.0
5173122906,Server,Permit Room Cambridge,"Chesterton, Cambridge",Hospitality & Catering Jobs,2025-05-01T15:39:20Z,"server/waiter/waitress we are proud to be recognised as one of the best places to work in hospitality. looking after people is at the core of what we do and we work hard to make life at dishoom the best it can be. since 2010, our restaurants have celebrated the irani cafes and all of the food and drink of bombay. we have dishoom cafes across london, edinburgh, manchester and birmingham. our permit rooms can be found in brighton, cambridge and oxford, with our newest bar-cafe opening in portobel…",32760.0,33280.0,unknown,full_time,33020.0
5180672792,GLD online volunteer,International Humanity Foundation,UK,HR & Recruitment Jobs,2025-05-04T20:31:14Z,"volunteer/gld online unleash your passion, volunteer online with ihf! make a difference from anywhere in the world: join the international humanity foundation (ihf) and help us empower marginalized children and communities (in location) while offering an opportunity to learn and practice (online). join our global leadership development program in one or more of the following divisions or teams: a. human resources (hr): master essential hr skills while supporting our global team. assist with app…",32113.3,32113.3,unknown,part_time,32113.3
5182740150,Residential Kitchen and Bathroom Fitter / Remedial Fitter,Bellamy Group,"Canvey Island, Essex",Trade & Construction Jobs,2025-05-06T09:37:05Z,"we are looking for a part or full time kitchen and bathroom fitter / remedial fitter to join our small family run business. we work all over essex and occasionally beyond. we look forward to receiving your cv! own insurance, van, asbestos cert, dbs and tools needed and minimum 3 yrs experience please.",25000.0,50000.0,permanent,full_time,37500.0
5181253555,Pharmacy Manager ( Across 2 sites),Clarity Recruitment,"St. Stephen, St. Austell",Healthcare & Nursing Jobs,2025-05-05T09:14:16Z,"clarity is recruiting for a managing pharmacist for a thriving pharmacy in st austell. what you need to know: this is a permanent full time role. 5 days during the week, 41.5 hours per week. you will be expected to work in two stores approx 2-3 miles within each other. opening hours for both stores are 9am - 5.30pm monday to friday. saturdays 9am - 1pm in one store, 9am - 12pm in other store. rota to be confirmed with successful candidate. both stores dispense approx 6,000 items per month. both…",45951.95,45951.95,permanent,full_time,45951.95
5172986402,Housekeeping Assistant - Bank - Care Home,Barchester Healthcare,"Horden, Peterlee",Domestic help & Cleaning Jobs,2025-05-01T13:32:38Z,"about the role as a bank housekeeping assistant at a barchester care home, you'll help to create a warm and homely environment that enables us to meet each resident's unique needs. keeping the home clean and safe is no small task, which is why the role of a bank housekeeping assistant is so important. the variety of housekeeping and cleaning tasks you carry out will ensure everyone can enjoy a clean, tidy and welcoming environment. this means you'll have a direct impact on our residents, their …",26436.0,26436.0,unknown,unknown,26436.0
5188480159,Care Assistant - Bank - Care Home,Barchester Healthcare,"Purley, South East London",Healthcare & Nursing Jobs,2025-05-08T13:36:27Z,"about the role as a bank care assistant at a barchester care home, you'll help residents enjoy each day by making sure they get the quality care and support they deserve. you'll assist with daily living, providing support and companionship and sharing great moments and memories too. it's a chance to bring your dedication and compassion to a fulfilling environment. every day will be different, so you can expect to undertake work that's as varied as it is rewarding. as a bank care assistant, you …",29120.0,29120.0,unknown,unknown,29120.0
5188480128,Hospitality - Host/Hostess - Bank,Barchester Healthcare,"Littleham, Exmouth",Social work Jobs,2025-05-08T13:36:27Z,"about the role as a bank hospitality host at a barchester care home, you'll help to create a stimulating environment for our residents so that we can give them the all-round care and support they deserve. we want our homes to be warm and welcoming with interesting events and first-class hospitality. as a bank hospitality host, you'll have an important part to play in making sure that happens. in particular, you'll provide a friendly, engaging and helpful service in our dining room and bar areas…",29619.0,29619.0,unknown,unknown,29619.0
5160245168,Nursery Early Years Educator,Connected Recruitment,"Ealing, West London",Teaching Jobs,2025-04-24T16:28:02Z,"become a valued early years educator role: early years educator location: ealing w5 hours: 40 hours per week flexi option: option to flex your hours over 4 day week salary: £27000-£28000 p/a qualification: nvq/cache level 3 or equivalent why join our client? you are amazing - even if you don’t know it yet as an early years educator you are preparing the next generation for the challenges ahead; teaching them to ask questions, take risks and be mindful of the people and the world around them. we…",27000.0,30000.0,permanent,full_time,28500.0
5144129427,Nursery Practitioner,Ambience Care Limited,"Woodside Park, North London",Teaching Jobs,2025-04-14T14:20:09Z,"we are looking for a passionate and dedicated nursery practitioner to join our warm and welcoming team in london. this is a great opportunity for someone who thrives in a team environment and has a strong commitment to delivering outstanding childcare. key responsibilities: lead the day to day running of the baby room, ensuring a safe, caring, and stimulating environment. provide high-quality care and age appropriate learning experiences in line with the eyfs framework. support, mentor, and sup…",29000.0,29000.0,permanent,full_time,29000.0
5195899583,"Strategic Consultant, Economic Consultant, Financial Consultant, Technical Consultant",Apex Strategy Partners,"London, UK",Consultancy Jobs,2025-05-13T07:29:47Z,"we seek consultants with expertise spanning finance, economics, strategy, technology, and policy to lead high-stakes projects. this role demands a unique blend of analytical rigor, strategic foresight, and experience engaging with public-sector stakeholders (e.g., government agencies, regulatory bodies) to shape policies and commercial strategies. key responsibilities strategic & policy advisory: design growth strategies for clients in financial services, tech startups, and public institutions.…",63382.67,63382.67,unknown,part_time,63382.67
