id,title,company,location,category,created,url,description,salary_min,salary_max,contract_type,contract_time
5185229320,Early Years Educator Nursery,Partou,"Ware, Hertfordshire",Teaching Jobs,2025-05-07T14:32:36Z,https://www.adzuna.co.uk/jobs/details/5185229320?utm_medium=api&utm_source=ee5e2937,"Join Partou, where we put children in the lead! We're seeking dedicated and qualified Level 3 early years practitioners to join our Sucklings Yard Day Nusery & Pre School. Part tine 20 hours a week and a competitive salary £27,600 (pro rata) At Partou, we are committed to providing exceptional care, compassion, and continuous learning. These values guide our interactions with children, families, and team members, ensuring a nurturing and supportive environment. Some of the benefits of working a…",27600.0,27600.0,permanent,part_time
5172986638,Housekeeping Assistant - Bank - Care Home,Barchester Healthcare,"Melbourn, Royston",Domestic help & Cleaning Jobs,2025-05-01T13:32:39Z,https://www.adzuna.co.uk/jobs/details/5172986638?utm_medium=api&utm_source=ee5e2937,"ABOUT THE ROLE As a Bank Housekeeping Assistant at a Barchester care home, you'll help to create a warm and homely environment that enables us to meet each resident's unique needs. Keeping the home clean and safe is no small task, which is why the role of a Bank Housekeeping Assistant is so important. The variety of housekeeping and cleaning tasks you carry out will ensure everyone can enjoy a clean, tidy and welcoming environment. This means you'll have a direct impact on our residents, their …",29619.0,29619.0,,
5190346944,Care Home Administrator,Barchester Healthcare,"Harlow Green, Gateshead",Admin Jobs,2025-05-09T13:37:28Z,https://www.adzuna.co.uk/jobs/details/5190346944?utm_medium=api&utm_source=ee5e2937,"Barchester Healthcare are looking for an experienced and dedicated Administrator to join our team and play a pivotal role within the home's management team. Providing the General Manager with the support needed to ensure the efficient running of a high quality home, this varied position encompasses managing Customer Experience elements alongside, HR, Recruitment, Payroll, Finance and the supervision of junior members of the administration team. You'll need to be a self-sufficient and profession…",28000.0,28000.0,permanent,
5149584869,Care Assistant - Bank - Care Home,Barchester Healthcare,"Wilton, Salisbury",Healthcare & Nursing Jobs,2025-04-17T13:30:03Z,https://www.adzuna.co.uk/jobs/details/5149584869?utm_medium=api&utm_source=ee5e2937,"ABOUT THE ROLE As a Bank Care Assistant at a Barchester care home, you'll help residents enjoy each day by making sure they get the quality care and support they deserve. You'll assist with daily living, providing support and companionship and sharing great moments and memories too. It's a chance to bring your dedication and compassion to a fulfilling environment. Every day will be different, so you can expect to undertake work that's as varied as it is rewarding. As a Bank Care Assistant, you …",33342.0,33342.0,,
5172986642,Activities Assistant - Care Home,Barchester Healthcare,"Badgeworth, Cheltenham",Hospitality & Catering Jobs,2025-05-01T13:32:39Z,https://www.adzuna.co.uk/jobs/details/5172986642?utm_medium=api&utm_source=ee5e2937,"ABOUT THE ROLE As an Activities Assistant at a Barchester care home, you'll deliver imaginative, fun and varied activities to ensure our residents can enjoy an environment that is motivational and fulfilling. We want to make sure each individual can pursue the interests they most enjoy and that means you'll have a real impact on our residents' lives. The Activities Assistant role involves helping us to deliver an entertainment and activities programme that covers a wide range of pastimes, socia…",26436.0,26436.0,permanent,
5172986625,Activities Assistant - Care Home,Barchester Healthcare,"Ellacombe, Torquay",Hospitality & Catering Jobs,2025-05-01T13:32:39Z,https://www.adzuna.co.uk/jobs/details/5172986625?utm_medium=api&utm_source=ee5e2937,"ABOUT THE ROLE As an Activities Assistant at a Barchester care home, you'll deliver imaginative, fun and varied activities to ensure our residents can enjoy an environment that is motivational and fulfilling. We want to make sure each individual can pursue the interests they most enjoy and that means you'll have a real impact on our residents' lives. The Activities Assistant role involves helping us to deliver an entertainment and activities programme that covers a wide range of pastimes, socia…",26436.0,26436.0,permanent,
5190346934,Deputy Manager & Clinical Lead (RN),Barchester Healthcare,"Southwick, Trowbridge",Healthcare & Nursing Jobs,2025-05-09T13:37:28Z,https://www.adzuna.co.uk/jobs/details/5190346934?utm_medium=api&utm_source=ee5e2937,"ABOUT THE ROLE As Care Home Deputy Manager & Clinical Lead of a Barchester care home, you'll support the delivery of the quality care we're known for. Working closely with the General Manager and taking on leadership duties in their absence, you can expect to help with everything from ensuring care standards to motivating your team. You'll inspire a multidisciplinary team to make sure they help every resident to enjoy the best possible quality of life. That means leading by example and monitori…",55000.0,55000.0,permanent,
5172986493,Laundry Assistant - Care Home,Barchester Healthcare,"Davidsons Mains, Edinburgh",Hospitality & Catering Jobs,2025-05-01T13:32:38Z,https://www.adzuna.co.uk/jobs/details/5172986493?utm_medium=api&utm_source=ee5e2937,"ABOUT THE ROLE As a Laundry Assistant at a Barchester care home, you'll help to make sure our residents receive quality care and support in the best possible surroundings. By making sure each resident has clean clothing and bedding, you'll be playing your own part in helping everyone to feel comfortable and at home. The role of Laundry Assistant involves sorting, washing, drying, ironing and contributing to the overall look and feel of the home. It's a great way to get a sense of what it takes …",26020.0,26020.0,permanent,
5195314787,Support Worker,Active Care Group,"Shrewsbury, Shropshire",Social work Jobs,2025-05-12T20:06:57Z,https://www.adzuna.co.uk/jobs/details/5195314787?utm_medium=api&utm_source=ee5e2937,"For genuine occupational reasons we require a the successful candidate to have a full UK driving license. Would you like a rewarding role in which you can support a client one to one in their own home? Come and join one of the UK's largest providers of complex care. Within the Care in the Home division, we support clients with complex care to live independently in their own homes. We'd like you to join us as a Live out Support Worker to support our male client who lives in Shrewsbury . Meet the…",31200.0,31200.0,,part_time
5160252081,Polish Interpreters Required,Premium Linguistic Services,"Manchester, Greater Manchester",Other/General Jobs,2025-04-24T16:33:32Z,https://www.adzuna.co.uk/jobs/details/5160252081?utm_medium=api&utm_source=ee5e2937,We are currently looking for Polish Interpreters in Manchester. We are extremely in-demand right now; this is an excellent opportunity to receive multiple interpreting assignments from Premium Linguistic Services every day . Skills and experience required: Fluent in English and Polish languages Qualification and/or Experience in Interpreting and/or Languages - if you are not sure about your qualification or experience please send us CV our friendly recruitment team will evaluate it for you. Mai…,18.0,18.0,permanent,part_time
5138677429,Benefit and Rewards Specialist,Barchester Healthcare,"Raigmore, Inverness",Accounting & Finance Jobs,2025-04-10T13:38:18Z,https://www.adzuna.co.uk/jobs/details/5138677429?utm_medium=api&utm_source=ee5e2937,"Barchester prides itself in offering an industry leading benefits, rewards and wellbeing programme. Are you an experienced Benefits and Rewards Specialist or Advisor looking for a new position in an expanding team and a fast-moving environment? This varied role will provide an enhanced business-focused benefits & rewards service. This role will have a particular focus on Managing, monitoring and reporting of compensation. This is a remote, permanent position, with occasional travel to Inverness…",47757.14,47757.14,permanent,
5156054513,Care Assistant - Driver,CAREGIVERS LIMITED,"Clacton-On-Sea, Essex",Healthcare & Nursing Jobs,2025-04-22T09:29:49Z,https://www.adzuna.co.uk/jobs/details/5156054513?utm_medium=api&utm_source=ee5e2937,"Job description Job Title: Domiciliary Care Driver Position Type: Part-Time, Full-Time Salary: £24,948 per annum Benefits: Mileage paid Pension scheme Flexible working Free uniform and PPE Job Description: As a Domiciliary Care Worker, you will be responsible for supporting clients in their own homes, ensuring they receive the care and assistance they need to live independently. Your role will include a variety of tasks tailored to meet the unique needs of each client, helping them maintain the…",24948.0,24948.0,permanent,full_time
5168409299,Operations & Office Administrator,The Missionary Society of Saint Columban,"Bentley Heath, Solihull",Admin Jobs,2025-04-29T11:52:27Z,https://www.adzuna.co.uk/jobs/details/5168409299?utm_medium=api&utm_source=ee5e2937,Job Tile: Operations and Office Administrator Reporting To: Fundraising and Operations Manager & Health & Safety Officer Days & Hours: Monday to Friday. Full-time - 37.5 hours per week Salary: Depending on experience. This will be discussed with the shortlisted candidates. Additional Benefits: An additional week of holiday (vs national entitlement) Four discretionary days of holiday over the Christmas period when the office is closed Discretionary Christmas bonus Discretionary paid compassionat…,20606.48,20606.48,permanent,full_time
5176169504,Registered Nurse (RGN) - Care Home,Barchester Healthcare,"East Gills, Scrabster",Healthcare & Nursing Jobs,2025-05-02T13:39:14Z,https://www.adzuna.co.uk/jobs/details/5176169504?utm_medium=api&utm_source=ee5e2937,"ABOUT THE ROLE As a Registered Nurse at a Barchester care home, you'll look after the physical, psychological and social needs of our residents to help us deliver the quality care they deserve. We'll look to you to create a safe and supportive environment for residents with range of physical and mental needs, whilst also relying on your professional judgement to make critical clinical decisions. You can expect a wide range of responsibilities, from developing tailored care plans to providing me…",42536.0,42536.0,permanent,
5048214042,Head Chef - Care Home,Barchester Healthcare,"Whiteley Village, Hersham",Hospitality & Catering Jobs,2025-02-13T11:55:06Z,https://www.adzuna.co.uk/jobs/details/5048214042?utm_medium=api&utm_source=ee5e2937,"Are you a passionate and qualified Chef looking for a better work life balance? If you are keen to be part of a company that is driven by quality and high standards, Barchester is the place to be! Your Benefits and Rewards Working days and alternate weekends only, across 4/5 days a week Rewarding Excellence' bonus where you will be financially rewarded up to £500* for a Good or Outstanding CQC inspection Unlimited access to our Refer a Friend' scheme, earning up to £500* per referral Access to …",40000.0,40000.0,permanent,
5093232623,Regional Senior Care Assistant,Barchester Healthcare,"Bumpers Farm, Chippenham",Social work Jobs,2025-03-14T12:29:01Z,https://www.adzuna.co.uk/jobs/details/5093232623?utm_medium=api&utm_source=ee5e2937,"ABOUT THE ROLE As a Regional Senior Care Assistant with Barchester care homes, you'll deliver warm, empathetic and respectful care and support across a 20-mile radius to help our residents get the most out of life. On a practical level, you can expect to monitor the delivery of care when on duty, contribute to the person-centred care planning process for each resident and record observations on things like temperature and blood pressure amongst a range of other important tasks. The role of Regi…",33280.0,33280.0,permanent,
5151609748,Housekeeping Assistant - Care Home,Barchester Healthcare,"Mongewell, Wallingford",Domestic help & Cleaning Jobs,2025-04-18T13:29:32Z,https://www.adzuna.co.uk/jobs/details/5151609748?utm_medium=api&utm_source=ee5e2937,"ABOUT THE ROLE As a Housekeeping Assistant at a Barchester care home, you'll help to create a warm and homely environment that enables us to meet each resident's unique needs. Keeping the home clean and safe is no small task, which is why the role of Housekeeping Assistant is so important. The variety of housekeeping and cleaning tasks you carry out will ensure everyone can enjoy a clean, tidy and welcoming environment. This means you'll have a direct impact on our residents, their visitors and…",28329.0,28329.0,permanent,
5162276676,Early Years Educator L3,Partou,"Market Harborough, Leicestershire",Teaching Jobs,2025-04-25T14:27:35Z,https://www.adzuna.co.uk/jobs/details/5162276676?utm_medium=api&utm_source=ee5e2937,"Join Partou, where we put children in the lead We're seeking dedicated and qualified Level 3 early years practitioners to join our Progress House family Part-time 30 hours a week and a competitive salary At Partou, we are committed to providing exceptional care, compassion, and continuous learning. These values guide our interactions with children, families, and team members, ensuring a nurturing and supportive environment. Some of the benefits of working as part of the Partou Family: Genuine o…",20248.0,20248.0,permanent,part_time
5172986626,Care Assistant - Complex Care,Barchester Healthcare,"Great Burdon, Darlington",Social work Jobs,2025-05-01T13:32:39Z,https://www.adzuna.co.uk/jobs/details/5172986626?utm_medium=api&utm_source=ee5e2937,"ABOUT THE ROLE As a Care Assistant at a Barchester complex care home, you'll help residents enjoy each day by making sure they get the quality care they deserve. We'll look to you to support our residents with a variety of needs, including advanced or young onset dementia, multiple sclerosis, neuro rehab and Huntington's disease. Our residents need highly specialised care to get the most out of life, and you'll be there deliver that by assisting with daily living, providing support and companio…",27892.0,27892.0,permanent,
5182945331,Support Worker,Hillgate Recruitment Services,"Havercroft, Wakefield",Healthcare & Nursing Jobs,2025-05-06T12:32:43Z,https://www.adzuna.co.uk/jobs/details/5182945331?utm_medium=api&utm_source=ee5e2937,"JOB TITLE: Support Workers LOCATION: Havercroft, Wakefield CONTRACT: Zero hours SHIFT PATTERN: as per business needs PAY RATE: £16.32 per hour Hillgate Recruitment Services is a leading recruitment agency in the UK. With over 25 years of experience, we have been serving a diverse range of clients across various industries, Healthcare Sectors . Our team of dedicated professionals, currently consisting of over 3,500 skilled and motivated individuals, is committed to delivering excellence in facil…",33945.0,33945.0,contract,full_time
5172986362,Care Assistant - Care Home,Barchester Healthcare,"Kingsland, Shrewsbury",Healthcare & Nursing Jobs,2025-05-01T13:32:37Z,https://www.adzuna.co.uk/jobs/details/5172986362?utm_medium=api&utm_source=ee5e2937,"ABOUT THE ROLE As a Care Assistant at a Barchester care home, you'll help residents enjoy each day by making sure they get the quality care and support they deserve. You'll assist with daily living, providing support and companionship and sharing great moments and memories too. It's a chance to bring your dedication and compassion to a fulfilling environment. Every day will be different, so you can expect to undertake work that's as varied as it is rewarding. As a Care Assistant, you could be d…",28724.0,28724.0,permanent,
